1	180	277
2	2280	2260
3	3420	3390
4	4080	4100
4	4140	4250
5	960	890
6	6300	6405
7	5220	5246
8	2400	2490
9	840	729
9	840	840
10	3480	3400
11	1020	1123
12	2520	2498
13	5280	5199
14	4020	4086
14	4140	4179
15	60	113
16	3540	3497
17	2580	2600
18	6360	6310
19	5340	5262
20	4200	4254
21	2460	2542
22	1080	1170
22	1260	1209
23	2040	2136
24	120	120
25	6420	6369
26	2640	2725
27	120	14
27	180	78
28	5400	5456
29	60	117
30	4260	4316
31	2760	2708
32	1200	1254
33	6480	6433
34	5340	5423
34	5280	5350
35	840	787
36	2700	2758
37	1140	1234
38	4320	4397
39	3120	3188
40	5400	5467
41	240	229
41	300	260
42	4380	4435
43	2820	2877
44	1320	1345
45	5340	5280
46	6540	6601
47	420	343
48	4440	4555
49	4860	4900
49	4980	4924
50	1380	1430
51	6600	6720
52	5400	5512
53	6300	6308
53	6300	6367
54	420	369
55	1440	1391
56	2880	2789
57	360	402
58	5520	5604
59	6300	6378
60	1320	1399
60	1440	1387
61	1560	1625
62	6660	6714
63	3840	3917
64	4500	4480
65	1500	1569
66	5580	5727
67	5760	5786
67	5820	5778
68	3960	4001
69	480	580
70	2940	3014
71	5640	5597
72	1620	1673
73	4620	4544
73	4740	4679
74	6720	6785
75	480	523
76	5700	5723
77	3060	3110
78	1680	1790
79	5640	5596
79	5700	5734
80	3180	3235
81	540	604
82	6720	6678
83	4680	4732
84	6780	6799
85	2940	3012
85	3000	3045
86	1740	1805
87	600	714
88	7020	6970
89	2640	2717
90	3780	3800
91	4800	4859
92	2160	2210
92	2220	2270
93	1800	1904
94	3060	3103
95	6840	6910
96	5760	5824
97	4680	4723
98	3600	3708
98	3660	3604
99	5760	5700
100	1860	1770
101	6900	6998
102	600	703
103	3360	3333
104	3120	3204
105	5820	5803
106	660	549
106	780	680
107	3720	3823
108	6960	6955
109	4860	4827
110	1920	1996
111	5880	5847
112	3180	3102
113	1980	1893
114	5580	5635
114	5640	5745
115	4980	5029
116	7020	7056
117	5940	6008
118	720	837
119	3780	3672
120	2040	2123
121	2460	2551
121	2580	2631
122	7080	7133
123	6000	6088
124	3240	3307
124	3360	3323
125	2160	2070
126	3900	3899
127	4620	4674
128	5040	5109
128	5040	5134
129	2100	2047
130	780	890
131	3840	3796
132	3300	3191
133	6060	6013
134	7020	6977
135	2580	2680
135	2640	2708
136	5100	5211
137	6120	6170
138	2220	2178
139	3360	3410
140	7140	7237
141	3960	3907
141	4020	3998
142	5160	5103
143	840	844
144	2040	1920
145	2160	2107
146	6180	6150
147	3420	3375
147	3480	3403
148	900	799
149	3900	4012


